epoch,train_loss,val_loss,val_pos_sim,val_neg_sim
1,0.693860,0.695550,0.067700,0.066806
2,0.694291,0.695170,0.037813,0.039546
3,0.692779,0.691558,0.074486,0.070814
4,0.692339,0.689435,0.026398,0.017692
5,0.692598,0.699827,0.064065,0.069117
6,0.678156,0.670877,0.131491,0.060605
7,0.668656,0.659049,0.157171,0.066253
8,0.661829,0.680579,0.106660,0.053703
9,0.652673,0.646270,0.139722,-0.001134
10,0.645594,0.638143,0.092563,-0.080855
11,0.632224,0.641428,0.102505,-0.087793
12,0.632638,0.670738,0.068461,-0.054421
13,0.627692,0.631484,0.129328,-0.089045
14,0.616370,0.629867,0.164470,-0.071814
15,0.619504,0.647904,0.132801,-0.059705
16,0.612725,0.635635,0.182842,-0.012290
17,0.608278,0.638974,0.194303,-0.020488
18,0.593201,0.658595,0.114078,-0.118930
19,0.579174,0.649326,0.136911,-0.147103
20,0.571653,0.656534,0.091337,-0.184244
21,0.559628,0.605983,0.156069,-0.219749
22,0.567991,0.693887,0.048919,-0.214656
23,0.553224,0.686342,0.106748,-0.173165
24,0.560164,0.627448,0.107159,-0.217048
25,0.552817,0.629940,0.171339,-0.140942
26,0.551380,0.612129,0.192719,-0.187307
27,0.551115,0.627423,0.172488,-0.136884
28,0.553095,0.670717,0.088420,-0.236630
29,0.549053,0.691259,0.091824,-0.202269
30,0.544529,0.631960,0.135529,-0.192050
31,0.541123,0.718240,0.143143,-0.127477
32,0.542530,0.600346,0.160365,-0.218985
33,0.535201,0.622091,0.168282,-0.144525
34,0.536861,0.703747,0.068969,-0.225174
35,0.531562,0.698816,0.139144,-0.098779
36,0.536248,0.655422,0.081217,-0.210065
37,0.529794,0.680047,0.129171,-0.195701
38,0.529480,0.645806,0.115845,-0.221018
39,0.529740,0.601772,0.198753,-0.217516
40,0.522997,0.620002,0.173299,-0.230631
41,0.530683,0.634686,0.103232,-0.202818
42,0.523740,0.642274,0.164971,-0.144588
43,0.517276,0.601472,0.209358,-0.179101
44,0.515731,0.619602,0.149816,-0.188670
45,0.521901,0.673757,0.104966,-0.215174
46,0.521210,0.639400,0.143530,-0.165788
47,0.526636,0.662808,0.083833,-0.278979
48,0.521421,0.651325,0.111750,-0.220765
49,0.516268,0.640965,0.157076,-0.223267
50,0.509176,0.636432,0.189348,-0.143998
51,0.505897,0.659809,0.138997,-0.206602
52,0.516978,0.637876,0.161722,-0.239399
53,0.504872,0.652503,0.088058,-0.235221
54,0.503017,0.678712,0.139225,-0.186175
55,0.508945,0.655175,0.114185,-0.225019
56,0.492858,0.611832,0.130529,-0.292244
57,0.508594,0.649964,0.128993,-0.224735
58,0.502041,0.673241,0.111076,-0.215666
59,0.504473,0.654029,0.103646,-0.257290
60,0.498817,0.681728,0.089776,-0.192227
61,0.499010,0.696151,0.094363,-0.221700
62,0.499529,0.656205,0.142046,-0.236092
63,0.493301,0.691053,0.115438,-0.191971
64,0.496600,0.665049,0.114233,-0.196996
65,0.494523,0.630722,0.157279,-0.218624
66,0.490312,0.689351,0.086327,-0.222891
67,0.505175,0.686457,0.081482,-0.234284
68,0.495918,0.610504,0.142011,-0.240836
69,0.495886,0.651444,0.117014,-0.241272
70,0.489647,0.646858,0.188775,-0.170323
71,0.493931,0.612159,0.168443,-0.235755
72,0.496533,0.648704,0.131882,-0.234568
73,0.491643,0.619495,0.143751,-0.270051
74,0.482452,0.655497,0.119057,-0.253335
75,0.488162,0.658421,0.169839,-0.199682
76,0.485788,0.623004,0.174605,-0.220433
77,0.486678,0.648113,0.140122,-0.199711
78,0.490963,0.610839,0.148348,-0.303372
79,0.482255,0.638597,0.124470,-0.261904
80,0.475653,0.629897,0.143724,-0.251387
81,0.479003,0.611272,0.193739,-0.210438
82,0.479828,0.652919,0.180800,-0.162909
83,0.487769,0.615202,0.168481,-0.255750
84,0.481857,0.640836,0.171266,-0.207398
85,0.480399,0.662665,0.164199,-0.174945
86,0.485088,0.614615,0.171614,-0.246649
87,0.474644,0.560060,0.226694,-0.269367
88,0.480320,0.643772,0.140699,-0.276743
89,0.485932,0.630920,0.120312,-0.290127
90,0.477770,0.660062,0.147920,-0.210367
91,0.481362,0.629409,0.157568,-0.255857
92,0.474337,0.630724,0.141250,-0.236338
93,0.479066,0.600666,0.200015,-0.219403
94,0.474380,0.640146,0.189782,-0.192667
95,0.480465,0.628303,0.191853,-0.208797
96,0.484159,0.681099,0.129474,-0.180249
97,0.473803,0.613249,0.208216,-0.212675
98,0.477942,0.654991,0.125457,-0.248162
99,0.471537,0.632675,0.191277,-0.197834
100,0.479060,0.642081,0.150618,-0.201340
